% Model:              ML端口边界_高斯光极限精度比较1.32.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 6 2024, 09:23
% Dimension:          1
% Nodes:              1521
% Expressions:        1
% Description:        线结果图
% x 坐标 (m);imag(ewfd.Ez)
-1.4075526315789474E-7;1.3957373855255115E-6
-1.405065789473684E-7;1.8971470870258038E-6
-1.4025789473684208E-7;2.371439096679235E-6
-1.4000921052631577E-7;2.7971440904710693E-6
-1.3976052631578945E-7;3.1688228729793276E-6
-1.3951184210526313E-7;3.4864754442040094E-6
-1.3926315789473682E-7;3.7501018041451155E-6
-1.390144736842105E-7;3.953862412140375E-6
-1.3876578947368419E-7;4.110454751035271E-6
-1.3851710526315787E-7;4.219878820829802E-6
-1.3826842105263155E-7;4.282134621523969E-6
-1.3801973684210524E-7;4.309518041537097E-6
-1.3777105263157892E-7;4.327069369402009E-6
-1.375223684210526E-7;4.334788605118706E-6
-1.372736842105263E-7;4.332675748687186E-6
-1.3702499999999997E-7;4.345541111905459E-6
-1.3677631578947368E-7;4.399894938965764E-6
-1.3652763157894737E-7;4.495737229868103E-6
-1.3627894736842105E-7;4.6330679846124765E-6
-1.3603026315789473E-7;4.838432456358952E-6
-1.3578157894736842E-7;5.128961195431224E-6
-1.3553289473684207E-7;5.504654201829292E-6
-1.3528421052631576E-7;5.965511475553156E-6
-1.3503552631578944E-7;6.528947887671206E-6
-1.3478684210526312E-7;7.196574852844577E-6
-1.345381578947368E-7;7.968392371073274E-6
-1.342894736842105E-7;8.844400442357293E-6
-1.3404078947368417E-7;9.826642195816694E-6
-1.3379210526315789E-7;1.090188934338297E-5
-1.3354342105263157E-7;1.2070141885056124E-5
-1.3329473684210525E-7;1.3331399820836154E-5
-1.3304605263157894E-7;1.4672886588879195E-5
-1.3279736842105262E-7;1.607271236031404E-5
-1.325486842105263E-7;1.753087713514068E-5
-1.323E-7;1.904738091335912E-5
-1.3205131578947367E-7;2.060072051082982E-5
-1.3180263157894735E-7;2.2168079284961577E-5
-1.3155394736842104E-7;2.3749457235754385E-5
-1.3130526315789472E-7;2.5344854363208252E-5
-1.310565789473684E-7;2.693177532229259E-5
-1.308078947368421E-7;2.849121675175508E-5
-1.3055921052631577E-7;3.002317865159571E-5
-1.3031052631578946E-7;3.1527661021814486E-5
-1.3006184210526314E-7;3.298600019739191E-5
-1.2981315789473682E-7;3.438180191739391E-5
-1.295644736842105E-7;3.5715066181820454E-5
-1.293157894736842E-7;3.698579299067156E-5
-1.2906710526315787E-7;3.8178073404017754E-5
-1.2881842105263156E-7;3.927096535728658E-5
-1.2856973684210527E-7;4.026446885047803E-5
-1.2832105263157895E-7;4.115858388359211E-5
-1.2807236842105264E-7;4.193311207396834E-5
-1.278236842105263E-7;4.25522420463406E-5
-1.2757499999999998E-7;4.30159738007089E-5
-1.2732631578947366E-7;4.332430733707324E-5
-1.2707763157894734E-7;4.3442485005056565E-5
-1.2682894736842103E-7;4.331042371654672E-5
-1.2658026315789474E-7;4.2928123471543705E-5
-1.2633157894736842E-7;4.229558427004752E-5
-1.260828947368421E-7;4.1354062916726005E-5
